"Ahituv, Shmuel",Canaanite toponyms in ancient egyptian documents.,===> Solicitar a/por: DEGIP 1-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trigger, Bruce Graham",A history of archaelogical thought.,===> Solicitar a/por: DEGIP: 1-1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seidlmayer, Stephan Johannes",Graberfelder aus dem Ubergang vom Alten zum Mittleren Reich: studien zur archaologie der Ersten Zwischenzeit.,===> Solicitar a/por: DEGIP: 1-1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hinkel, Friedrich W.",The archaeological map of Sudan.,===> Solicitar a/por: DEGIP: 1-1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hinkel, Friedrich W.",The archaeological map of the Sudan.,===> Solicitar a/por: DEGIP: 1-1-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gitin, Seymour; Dever, William G.",Recent excavations in Israel: studies in Iron Age archaeology.,===> Solicitar a/por: DEGIP: 1-1-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ziegler, Christiane",Le Louvre:les antiquités égyptiennes.,===> Solicitar a/por: DEGIP: 1-1-14b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bietak, Manfred",Avaris and Piramesse: archaeological exploration in the Eastern Nile Delta.,===> Solicitar a/por: DEGIP: 1-1-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McDowell, A.G.",Jurisdiction in the workmen's community of Deir el-Medina.,===> Solicitar a/por: DEGIP: 1-1-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lichtheim, Miriam",Ancient Egyptian autobiographies chiefly of the Middle Kingdom: a study and an anthology.,===> Solicitar a/por: DEGIP: 1-1-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Edel, Elmar",Hieroglypische inschriften des Alten Reiches.,===> Solicitar a/por: DEGIP: 1-1-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EG Anthes, Rudolf",Mit Rahineh 1956.,===> Solicitar a/por: DEGIP: 1-1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EG Anthes, Rudolf",Mit Rahineh 1955.,===> Solicitar a/por: DEGIP: 1-1-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Edel, Elmar",Beitrage zu den inschriften des Mittleren Reiches in den Grabern der Qubbet el Hawa.,===> Solicitar a/por: DEGIP: 1-1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
